id,width,source,url,updated_at,height,created_at,workout_id,medium_type,exif_datetime,thumbnail_url,exif_location_latitude,exif_location_longitude
679751220,1400,camera,https://cdn.gymrats.app/a4dcb96d-9733-495d-876b-3d8f892ef35d.jpg,2026-05-04T10:08:55,1866,2026-05-04T10:08:55,616983236,image/jpg,2026-05-04T10:07:55,,,
679758963,540,library,https://cdn.gymrats.app/bf2a1ce6-6d87-4b00-aa1a-2973814aee2d.mp4,2026-05-04T10:14:59,960,2026-05-04T10:14:59,616991569,video/mp4,2026-05-04T10:13:31,https://cdn.gymrats.app/e0363415-9818-4265-bd93-656359a79307.jpg,,
679835034,1400,library,https://cdn.gymrats.app/6751ebd3-581a-413a-beec-ac54aa329421.jpg,2026-05-04T11:16:17,2486,2026-05-04T11:16:17,617069835,image/jpg,2026-05-04T11:12:30,https://cdn.gymrats.app/6751ebd3-581a-413a-beec-ac54aa329421.jpg,,
679894834,1400,library,https://cdn.gymrats.app/0b368600-6907-4d21-b528-194031db2492.jpg,2026-05-04T12:08:35,1866,2026-05-04T12:08:35,617136817,image/jpg,2026-05-04T12:07:29,,,
679923928,1178,library,https://cdn.gymrats.app/357cd6f8-31ea-43e0-b553-93e44fb72efd.jpg,2026-05-04T12:35:03,2556,2026-05-04T12:35:03,617163530,image/jpg,2026-05-04T12:34:47,,,
679922862,1400,library,https://cdn.gymrats.app/25ace40d-ac91-4495-b2cc-10008937ec27.jpg,2026-05-04T12:34:03,2488,2026-05-04T12:34:03,617163530,image/jpg,2026-05-04T11:49:29,,-23.567313333333335,-46.687145
680149284,1400,library,https://cdn.gymrats.app/8b92d064-712e-4f44-b5db-81d8bd49b76a.jpg,2026-05-04T16:30:17,1866,2026-05-04T16:30:17,617389549,image/jpg,2026-05-04T16:29:18,,,
680149283,1206,library,https://cdn.gymrats.app/f4a470f8-56de-4e2f-9d16-b63c74b4aaa2.jpg,2026-05-04T16:30:17,2436,2026-05-04T16:30:17,617389549,image/jpg,2026-05-04T16:27:15,,,
680152612,1400,library,https://cdn.gymrats.app/a0e2699f-1cf2-4d4b-ae7e-b70a4401324f.jpg,2026-05-04T16:33:51,1400,2026-05-04T16:33:51,617393025,image/jpg,2026-05-04T16:08:06,,,
680227189,1400,library,https://cdn.gymrats.app/3b6ef066-38d2-4d77-9083-e18d57b43b77.jpg,2026-05-04T18:02:45,1866,2026-05-04T18:02:45,617417617,image/jpg,2026-05-04T16:51:50,,,
680213561,1400,camera,https://cdn.gymrats.app/1218c90c-d11e-4b65-9136-327e9801cabc.jpg,2026-05-04T17:45:44,1866,2026-05-04T17:45:44,617451084,image/jpg,2026-05-04T17:45:20,,,
680839928,1400,camera,https://cdn.gymrats.app/9ba3fdb6-c5bc-4d94-8c1a-531cfa0cb4f1.jpg,2026-05-04T23:33:17,1866,2026-05-04T23:33:17,618062514,image/jpg,2026-05-04T23:33:05,,,
681062111,1400,library,https://cdn.gymrats.app/1f970b2c-92d7-4db6-b84d-09bf153a1cf9.jpg,2026-05-05T00:52:48,1400,2026-05-05T00:52:48,618272469,image/jpg,2026-05-05T00:22:11,,,
681378835,1400,library,https://cdn.gymrats.app/18e5606b-32e9-4ab4-bd5b-c3f47458f2d3.jpg,2026-05-05T10:04:08,1866,2026-05-05T10:04:08,618572658,image/jpg,2026-05-05T09:50:18,https://cdn.gymrats.app/18e5606b-32e9-4ab4-bd5b-c3f47458f2d3.jpg,,
