id,version,description,title,timezone,steps,details,duration,updated_at,points,created_at,calories,distance_miles,duration_millis,occurred_at,activity_type,apple_workout_uuid,apple_device_name,apple_source_name,account_id,workout_entry_id,google_place_id,photo_url,activity_count,activity_metric_amount,activity_type_id
616983236,v2,,✅ ✅ ,America/Fortaleza,,"{""id"":107776770,""updated_at"":""2026-05-04T12:09:01"",""created_at"":""2026-05-04T10:08:55"",""workout_id"":616983236,""location_latitude"":null,""location_longitude"":null}",,2026-05-04T10:08:55.409330Z,,2026-05-04T10:08:55.409330Z,,,,2026-05-04T10:07:55.000000Z,,,,,3875036,275096106,,https://cdn.gymrats.app/a4dcb96d-9733-495d-876b-3d8f892ef35d.jpg,0,,
616991569,v2,,Esqueci que tinha que ter selfie 🥴,America/Fortaleza,,"{""id"":107785103,""updated_at"":""2026-05-04T10:14:59"",""created_at"":""2026-05-04T10:14:59"",""workout_id"":616991569,""location_latitude"":null,""location_longitude"":null}",,2026-05-04T10:14:59.257503Z,,2026-05-04T10:14:59.257503Z,,,,2026-05-04T10:14:26.000000Z,,,,,3875036,275099814,,https://cdn.gymrats.app/e0363415-9818-4265-bd93-656359a79307.jpg,0,,
617069835,v2,,Boxing,-03:00,,"{""id"":107863369,""updated_at"":""2026-05-04T12:09:09"",""created_at"":""2026-05-04T11:13:07"",""workout_id"":617069835,""location_latitude"":null,""location_longitude"":null}",53,2026-05-04T11:16:17.216321Z,,2026-05-04T11:13:07.069279Z,377,,3191000,2026-05-04T10:19:03.463000Z,,,,,1987925,275134660,,https://cdn.gymrats.app/6751ebd3-581a-413a-beec-ac54aa329421.jpg,1,,
617136817,v2,,Bike Bootcamp,Etc/GMT+4,,"{""id"":107930350,""updated_at"":""2026-05-04T12:08:35"",""created_at"":""2026-05-04T12:08:35"",""workout_id"":617136817,""location_latitude"":null,""location_longitude"":null}",46,2026-05-04T12:08:35.933378Z,,2026-05-04T12:08:35.933378Z,367,"12,05",2775000,2026-05-04T11:19:48.000000Z,,,,,1798219,275164438,,https://cdn.gymrats.app/0b368600-6907-4d21-b528-194031db2492.jpg,1,,
617163530,v2,Foi horrível ,Functional Strength Training,America/Sao_Paulo,,"{""id"":107957062,""updated_at"":""2026-05-05T20:38:17"",""created_at"":""2026-05-04T12:33:39"",""workout_id"":617163530,""location_latitude"":null,""location_longitude"":null}",31,2026-05-04T12:35:03.583432Z,,2026-05-04T12:33:39.172648Z,175,,1874710,2026-05-04T11:20:24.000000Z,,,,,3941595,275176369,,https://cdn.gymrats.app/25ace40d-ac91-4495-b2cc-10008937ec27.jpg,1,,
617389549,v2,,Bike Peloton,-04:00,,"{""id"":108183080,""updated_at"":""2026-05-04T16:34:47"",""created_at"":""2026-05-04T16:30:17"",""workout_id"":617389549,""location_latitude"":null,""location_longitude"":null}",32,2026-05-04T18:28:23.432557Z,,2026-05-04T16:30:17.518591Z,366,12,1976000,2026-05-04T15:51:32.000000Z,,,,,1798391,275278039,,https://cdn.gymrats.app/f4a470f8-56de-4e2f-9d16-b63c74b4aaa2.jpg,1,,
617393025,v2,,Pilates,America/Sao_Paulo,,"{""id"":108186556,""updated_at"":""2026-05-04T16:35:05"",""created_at"":""2026-05-04T16:33:51"",""workout_id"":617393025,""location_latitude"":null,""location_longitude"":null}",50,2026-05-04T16:33:51.630905Z,,2026-05-04T16:33:51.630905Z,,,3000000,2026-05-04T16:32:58.000000Z,,,,,51123,275279586,,https://cdn.gymrats.app/a0e2699f-1cf2-4d4b-ae7e-b70a4401324f.jpg,1,,
617417617,v2,#OD,Musculação Tradicional,America/Sao_Paulo,,"{""id"":108211147,""updated_at"":""2026-05-04T17:02:16"",""created_at"":""2026-05-04T17:02:16"",""workout_id"":617417617,""location_latitude"":null,""location_longitude"":null}",100,2026-05-04T18:02:45.663968Z,,2026-05-04T17:02:16.205377Z,473,,6001678,2026-05-04T15:11:31.000000Z,,,,,7541260,275290581,,https://cdn.gymrats.app/3b6ef066-38d2-4d77-9083-e18d57b43b77.jpg,1,,
617451084,v2,Chamando na bota,Chamando na bota,Africa/Cairo,,"{""id"":108244613,""updated_at"":""2026-05-04T17:45:44"",""created_at"":""2026-05-04T17:45:44"",""workout_id"":617451084,""location_latitude"":null,""location_longitude"":null}",,2026-05-04T17:45:44.839477Z,,2026-05-04T17:45:44.839477Z,,,,2026-05-04T17:45:20.000000Z,,,,,5912814,275305569,,https://cdn.gymrats.app/1218c90c-d11e-4b65-9136-327e9801cabc.jpg,1,,
618062514,v2,,Bike ,America/Sao_Paulo,,"{""id"":108856035,""updated_at"":""2026-05-04T23:33:17"",""created_at"":""2026-05-04T23:33:17"",""workout_id"":618062514,""location_latitude"":null,""location_longitude"":null}",,2026-05-04T23:33:17.909394Z,,2026-05-04T23:33:17.909394Z,,,,2026-05-04T23:33:06.000000Z,,,,,2241048,275578995,,https://cdn.gymrats.app/9ba3fdb6-c5bc-4d94-8c1a-531cfa0cb4f1.jpg,0,,
