id,updated_at,content,created_at,account_id,message_type
23787678,2026-04-26T22:34:01.855916Z,Boa noite grupo,2026-04-26T22:34:01.855916Z,255289,text
23787919,2026-04-26T22:42:32.990377Z,🔥🔥,2026-04-26T22:42:32.990377Z,7538297,text
23790256,2026-04-27T00:25:55.208433Z,https://cdn.gymrats.app/7e1f1a05-b6b1-481e-9427-df44066f277e.jpg,2026-04-27T00:25:55.208433Z,7545665,image
23791258,2026-04-27T01:09:52.309121Z,😂😂😂,2026-04-27T01:09:52.309121Z,51123,text
23797005,2026-04-27T11:37:42.392018Z,"Macho prisco, que foto bad pra uma competição fitness kkkkk",2026-04-27T11:37:42.392018Z,7538297,text
23823972,2026-04-27T23:18:26.076897Z,bem humorado da parte dele,2026-04-27T23:18:26.076897Z,255289,text
23854419,2026-04-28T18:15:42.581574Z,"Galeraaa, sairam as regras da competição!!!",2026-04-28T18:15:42.581574Z,7538297,text
23854443,2026-04-28T18:16:05.908450Z,https://cdn.gymrats.app/c959ebf1-ca1d-43ba-87f6-7978e794b9f4.jpg,2026-04-28T18:16:05.908450Z,7538297,image
23854450,2026-04-28T18:16:15.050271Z,https://cdn.gymrats.app/29d21fe7-9f4c-4a9e-8ec1-7ab5a3e88aea.jpg,2026-04-28T18:16:15.050271Z,7538297,image
23855808,2026-04-28T18:57:02.747822Z,ARRASOU,2026-04-28T18:57:02.747822Z,1798219,text
23862852,2026-04-28T21:50:38.768427Z,Não posso decepcionar minhas amigas 😭,2026-04-28T21:50:38.768427Z,51123,text
23875254,2026-04-29T00:31:00.693271Z,Caralho bocao,2026-04-29T00:31:00.693271Z,7545665,text
23875260,2026-04-29T00:31:06.543104Z,Te pedi uma coisa,2026-04-29T00:31:06.543104Z,7545665,text
23875264,2026-04-29T00:31:08.532381Z,Uma.coisa,2026-04-29T00:31:08.532381Z,7545665,text
23875274,2026-04-29T00:31:17.131680Z,Tu tinha um trabalho,2026-04-29T00:31:17.131680Z,7545665,text
23875300,2026-04-29T00:31:31.643756Z,Me colocar no outro time que nao o do marquin,2026-04-29T00:31:31.643756Z,7545665,text
23875711,2026-04-29T00:36:54.307546Z,https://cdn.gymrats.app/f22f1eee-6eed-4750-86e4-50a572e1068f.jpg,2026-04-29T00:36:54.307546Z,7538297,image
23937901,2026-04-30T16:14:11.430686Z,"Bocao palhaco, sem palavra, vacilao e desonesto",2026-04-30T16:14:11.430686Z,7545665,text
24001094,2026-05-02T13:04:04.794663Z,https://cdn.gymrats.app/30b7e45b-381d-447e-92b6-f7a1fa32f042.jpg,2026-05-02T13:04:04.794663Z,5912814,image
24001095,2026-05-02T13:04:05.198631Z,Eh o esquenta pro mês de malho,2026-05-02T13:04:05.198631Z,5912814,text
24003937,2026-05-02T14:22:53.767264Z,https://cdn.gymrats.app/46d59d66-2dc2-4fb3-9a8c-80c0b3142a98.jpg,2026-05-02T14:22:53.767264Z,5912814,image
24003939,2026-05-02T14:22:54.011333Z,Bora,2026-05-02T14:22:54.011333Z,5912814,text
24003953,2026-05-02T14:23:11.039746Z,"Nao contou, treinou de besta!!",2026-05-02T14:23:11.039746Z,255289,text
24007249,2026-05-02T15:52:02.948781Z,Boa! Esse eh o pensamento.,2026-05-02T15:52:02.948781Z,5912814,text
24007270,2026-05-02T15:52:43.046301Z,É o time OCEAN DRIVE!!!,2026-05-02T15:52:43.046301Z,7538297,text
24008712,2026-05-02T16:40:16.724742Z,"Acho legal que o time ocean drive ta no esquenta, apesar de sabermos que o time SOUTH BEACH 🦩 vai passar por cima 😌😌😌😌",2026-05-02T16:40:16.724742Z,1798219,text
24009839,2026-05-02T17:20:49.203468Z,É a tropa do OD 💪🏋️‍♂️🏃‍♂️🏁,2026-05-02T17:20:49.203468Z,7538297,text
24010760,2026-05-02T17:57:48.128803Z,"ODs, confirmada a videocall amanha 17h para alinhamento estratégico?",2026-05-02T17:57:48.128803Z,255289,text
24041765,2026-05-04T10:16:34.842298Z,Carambaaaaaa,2026-05-04T10:16:34.842298Z,5912814,text
24041768,2026-05-04T10:16:41.190355Z,O time das molinetes já começou dando aula,2026-05-04T10:16:41.190355Z,5912814,text
24041771,2026-05-04T10:16:46.360329Z,E o pai acordou acabado aqui hihe,2026-05-04T10:16:46.360329Z,5912814,text
24041776,2026-05-04T10:16:55.030397Z,Se eu for malhar eh só por causa do challenge,2026-05-04T10:16:55.030397Z,5912814,text
24042959,2026-05-04T11:03:59.976850Z,"Descansa, amigo 😌",2026-05-04T11:03:59.976850Z,51123,text
24043383,2026-05-04T11:15:25.216349Z,Hahahaha,2026-05-04T11:15:25.216349Z,5912814,text
